method,estimand,estimate,se,p_value,ci_lower,ci_upper,n_obs,se_fallback,true_att,bias,covers,rejects
TWFE,Y_any,0.09484794275491584,0.05900488293079694,0.11367998158538953,-0.020801627789446164,0.21049751329927785,1960,FALSE,0.11926636144838478,-0.024418418693468932,TRUE,FALSE
Matrix Completion,Y_any,0.09490843529150897,0.057846627413557145,0.10086159451923647,8.922502856629171e-5,0.20185949171630435,1960,FALSE,0.11926636144838478,-0.024357926156875806,TRUE,FALSE
SynthDiD,Y_any,0.09588629268115276,0.05417050449726024,0.07671330409820779,-0.010287896133477317,0.20206048149578282,1960,FALSE,0.11926636144838478,-0.023380068767232018,TRUE,FALSE
